time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,identity,updated,place,type,id
2015-06-15T15:47:42.450Z,19.357,-155.2296667,30.66,1.68,md,37,102,0.01945,0.09,hv,hv60960761,2015-06-15T16:49:38.600Z,"8km S of Volcano, Hawaii",earthquake,31
2015-06-15T15:45:44.270Z,-5.3115,152.3276,53.75,4.4,mb,,97,6.542,1.12,us,us20002pya,2015-06-15T17:08:34.692Z,"106km S of Kokopo, Papua New Guinea",earthquake,32
2015-06-15T15:42:48.630Z,33.4098333,-116.439,14.71,0.81,ml,34,97,0.1138,0.13,ci,ci37400520,2015-06-15T20:12:41.710Z,"18km NNW of Borrego Springs, California",earthquake,33
2015-06-15T15:33:11.852Z,37.2894,-114.6431,0.922,0.94,ml,7,144.36,0.345,0.1815,nn,nn00498665,2015-06-15T15:52:35.990Z,"37km SSW of Caliente, Nevada",earthquake,34
2015-06-15T15:30:55.440Z,38.7938347,-122.7584991,2.95,0.52,md,9,94,0.02004,0.02,nc,nc72466541,2015-06-15T15:32:28.170Z,"1km N of The Geysers, California",earthquake,35
2015-06-15T15:24:22.530Z,33.731,-116.7975,16.921,1.1,ml,38,61,0.07222,0.15,ci,ci37400496,2015-06-15T15:28:39.355Z,"7km W of Idyllwild, California",earthquake,36
2015-06-15T15:16:41.630Z,33.2696667,-116.7718333,11.473,0.96,ml,32,46,0.03534,0.19,ci,ci37400488,2015-06-15T15:20:47.010Z,"3km NNW of Lake Henshaw, California",earthquake,37
2015-06-15T15:00:15.690Z,36.3688316,-121.4936676,6.13,1.49,md,9,139,0.05063,0.05,nc,nc72466521,2015-06-15T15:01:48.900Z,"15km SSW of Gonzales, California",earthquake,38
2015-06-15T14:53:55.810Z,36.0943333,-117.8488333,3.51,0.48,ml,13,137,0.09275,0.08,ci,ci37400472,2015-06-15T18:48:02.375Z,"10km ENE of Coso Junction, California",earthquake,39
2015-06-15T14:43:04.000Z,61.4157,-146.9657,15.5,1.9,ml,432,543,566,0.78,ak,ak11626110,2015-06-15T15:02:42.491Z,"45km NW of Valdez, Alaska",earthquake,40
2015-06-15T14:21:17.360Z,36.7959,71.1629,97.71,4.3,mb,56,86,0.573,0.91,us,us20002pxw,2015-06-15T15:38:18.163Z,"30km ESE of Jarm, Afghanistan",earthquake,41
2015-06-15T14:07:40.000Z,63.7268,-147.8538,0,0.9,ml,34,23,23,0.4,ak,ak11626108,2015-06-15T14:16:54.608Z,"56km ESE of Healy, Alaska",earthquake,42
2015-06-15T13:38:01.110Z,31.4343,-41.1293,10,4.8,mb,,94,23.32,0.83,us,us20002pxt,2015-06-15T15:22:33.898Z,Northern Mid-Atlantic Ridge,earthquake,43
2015-06-15T13:36:21.000Z,61.3449,-147.6646,8.3,1.3,ml,24,23,53,0.83,ak,ak11626106,2015-06-15T18:34:57.450Z,"74km WNW of Valdez, Alaska",earthquake,44
2015-06-15T13:19:19.970Z,34.0111667,-117.2043333,2.456,1.3,ml,42,61,0.06882,0.28,ci,ci37400424,2015-06-15T13:23:36.365Z,"5km SSW of Redlands, California",earthquake,45
2015-06-15T13:00:17.300Z,41.5208333,-112.2865,0.43,0.8,md,8,99,0.077,0.15,uu,uu60114417,2015-06-15T16:19:09.100Z,"21km SW of Honeyville, Utah",earthquake,46
2015-06-15T12:56:41.000Z,61.0901,-151.4404,91.3,0.9,ml,234,23,45,0.08,ak,ak11626089,2015-06-15T13:10:26.880Z,"45km N of Nikiski, Alaska",earthquake,47
2015-06-15T12:54:46.580Z,38.7996674,-122.7994995,9.38,0.44,md,9,110,0.008913,0.1,nc,nc72466481,2015-06-15T12:56:22.970Z,"4km WNW of The Geysers, California",earthquake,48
2015-06-15T12:46:10.813Z,38.3881,-118.2011,6.0439,1.05,ml,7,105.16,0.275,0.0536,nn,nn00498658,2015-06-15T15:39:56.900Z,"39km ESE of Hawthorne, Nevada",earthquake,49
2015-06-15T12:39:20.780Z,19.2853333,-155.3871667,2.93,1.13,md,23,101,0.04783,0.09,hv,hv60960646,2015-06-15T17:00:14.740Z,"13km NE of Pahala, Hawaii",earthquake,50
2015-06-15T12:36:07.764Z,39.7518,-120.562,7.0332,0.7,ml,12,58.31,0.115,0.1582,nn,nn00498657,2015-06-15T16:02:12.068Z,"10km SW of Portola, California",earthquake,51
2015-06-15T12:26:43.460Z,33.3958333,-116.4195,12.27,0.44,ml,19,137,0.1267,0.17,ci,ci37400416,2015-06-15T13:50:55.513Z,"16km NNW of Borrego Springs, California",earthquake,52
2015-06-15T12:23:41.920Z,19.3448333,-155.1786667,6.98,1.49,md,47,76,0.03555,0.09,hv,hv60960641,2015-06-15T17:27:34.410Z,"11km SSE of Volcano, Hawaii",earthquake,53
2015-06-15T12:08:48.000Z,63.2259,-150.5067,114.1,1.4,ml,11,23,53,0.73,ak,ak11626087,2015-06-15T12:26:19.107Z,"80km WSW of Cantwell, Alaska",earthquake,54
2015-06-15T11:56:43.540Z,36.0035019,-120.5654984,2.45,0.82,md,12,154,0.02416,0.07,nc,nc72466466,2015-06-15T11:58:18.530Z,"23km SW of Coalinga, California",earthquake,55
2015-06-15T11:55:05.520Z,33.2733333,-116.789,13.318,1.51,ml,18,106,0.04505,0.35,ci,ci37400400,2015-06-15T11:59:23.150Z,"4km NW of Lake Henshaw, California",earthquake,56
2015-06-15T11:43:24.850Z,34.6098333,-118.6366667,6.98,1.49,ml,41,37,0.07177,0.28,ci,ci37400392,2015-06-15T13:51:13.690Z,"14km N of Castaic, California",earthquake,57
2015-06-15T11:39:50.000Z,61.2985,-149.4091,40.6,0.9,ml,53,23,12,0.2,ak,ak11626085,2015-06-15T18:19:33.871Z,"25km SSE of Knik-Fairview, Alaska",earthquake,58
2015-06-15T11:26:42.495Z,36.7104,-116.1449,0,0.18,ml,17,84.05,0.017,0.1803,nn,nn00498656,2015-06-15T16:15:18.171Z,"57km NNW of Pahrump, Nevada",earthquake,59
2015-06-15T11:07:40.000Z,64.3137,-149.7564,18.1,0.8,ml,2,23,34,0.39,ak,ak11626084,2015-06-15T11:27:01.916Z,"42km SW of North Nenana, Alaska",earthquake,60
2015-06-15T10:37:13.000Z,60.2156,-141.4122,20,0.8,ml,4,32,32,45,ak,ak11626083,2015-06-15T10:58:22.251Z,"58km ENE of Cape Yakataga, Alaska",earthquake,61
2015-06-15T10:29:48.000Z,63.0829,-151.491,8.3,1.9,ml,222,23,23,0.42,ak,ak11626079,2015-06-15T10:58:21.447Z,"110km NW of Talkeetna, Alaska",earthquake,62
2015-06-15T10:25:44.700Z,36.4856,-98.1785,5,2.9,mb_lg,45,71,0.158,0.77,us,us20002px7,2015-06-15T18:28:14.117Z,"10km SE of Helena, Oklahoma",earthquake,63
2015-06-15T10:24:24.270Z,34.0608333,-117.2608333,13.056,1,ml,45,55,0.1165,0.21,ci,ci37400384,2015-06-15T13:51:16.554Z,"1km N of Loma Linda, California",earthquake,64
2015-06-15T10:20:14.200Z,38.8206673,-122.8051682,3.64,0.79,md,10,85,0.004701,0.01,nc,nc72466456,2015-06-15T10:21:48.770Z,"6km NW of The Geysers, California",earthquake,65
2015-06-15T09:43:04.300Z,33.4831667,-116.5861667,12.525,0.81,ml,27,74,0.01766,0.16,ci,ci37400376,2015-06-15T13:52:22.770Z,"11km SE of Anza, California",earthquake,66
2015-06-15T09:40:25.000Z,66.3048,-146.0199,0,1.3,ml,45,23,23,0.59,ak,ak11626078,2015-06-15T09:56:07.497Z,"44km SW of Fort Yukon, Alaska",earthquake,67
2015-06-15T09:37:18.970Z,33.3451667,-116.391,13.927,1.2,ml,46,48,0.07983,0.2,ci,ci37400368,2015-06-15T13:52:30.330Z,"10km N of Borrego Springs, California",earthquake,68
2015-06-15T09:34:32.970Z,38.8503342,-122.7596664,1,0.97,md,8,142,0.01363,0.03,nc,nc72466446,2015-06-15T09:36:07.430Z,"4km NW of Cobb, California",earthquake,69
2015-06-15T09:30:45.740Z,35.4831667,-118.4255,3.772,0.78,ml,12,105,0.1835,0.12,ci,ci37400360,2015-06-15T13:51:54.365Z,"13km SSE of Bodfish, California",earthquake,70
2015-06-15T09:16:08.000Z,64.8884,-148.8822,5.4,0.9,ml,22,3,56,0.82,ak,ak11626075,2015-06-15T09:41:17.486Z,"36km NNE of North Nenana, Alaska",earthquake,71
2015-06-15T09:11:19.890Z,19.3616657,-155.2299957,31.27,1.96,md,37,56,0.01551,0.21,hv,hv60960551,2015-06-15T09:14:28.240Z,"7km S of Volcano, Hawaii",earthquake,72
2015-06-15T09:01:27.480Z,19.4273338,-155.6111603,3.08,1.71,md,13,89,0.02563,0.33,hv,hv60960536,2015-06-15T09:04:34.300Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake,73
2015-06-15T08:45:12.000Z,33.599,-116.8131667,9.148,0.57,ml,24,50,0.0413,0.1,ci,ci37400352,2015-06-15T13:52:38.340Z,"14km WNW of Anza, California",earthquake,74
2015-06-15T08:39:24.230Z,33.8435,-117.72,8.055,1.08,ml,31,63,0.05965,0.16,ci,ci37400344,2015-06-15T13:52:00.539Z,"9km ENE of Villa Park, California",earthquake,75
2015-06-15T08:12:54.000Z,62.0854,-145.1009,22.6,0.9,ml,45,21,34,0.2,ak,ak11626072,2015-06-15T08:31:25.374Z,"23km E of Glennallen, Alaska",earthquake,76
2015-06-15T07:29:47.860Z,45.2996667,-122.1246667,16.05,1.09,md,16,128,0.2354,0.17,uw,uw61026907,2015-06-15T17:17:31.010Z,"12km WSW of Mount Hood Village, Oregon",earthquake,77
2015-06-15T07:26:05.330Z,33.7245,-116.8271667,19.291,0.54,ml,22,98,0.0888,0.2,ci,ci37400336,2015-06-15T13:53:47.320Z,"7km ESE of Valle Vista, California",earthquake,78
2015-06-15T07:19:11.000Z,61.6143,-141.8272,23.9,1.2,ml,4,23,34,0.7,ak,ak11626058,2015-06-15T07:43:15.861Z,"139km E of Chitina, Alaska",earthquake,79
2015-06-15T07:18:39.000Z,59.5646,-152.9572,95.3,1.7,ml,24,45,64,1.06,ak,ak11626056,2015-06-15T07:43:14.956Z,"67km WSW of Anchor Point, Alaska",earthquake,80
2015-06-15T06:49:39.000Z,64.4353,-147.9537,3.9,0.6,ml,23,23,32,0.72,ak,ak11626052,2015-06-15T18:49:44.862Z,"45km SSW of Badger, Alaska",earthquake,81
2015-06-15T06:46:26.444Z,40.0551,-120.0867,10.2113,0.67,ml,6,189.94,0.166,0.0995,nn,nn00498650,2015-06-15T07:50:36.307Z,"42km NNW of Cold Springs, Nevada",earthquake,82
2015-06-15T06:35:26.084Z,39.5895,-120.3868,11.6998,0.53,ml,12,112.04,0.135,0.1452,nn,nn00498649,2015-06-15T07:41:06.872Z,"25km SSE of Portola, California",earthquake,83
2015-06-15T05:51:35.100Z,47.6748333,-120.3326667,5.04,2.82,ml,22,50,0.0707,0.13,uw,uw61026892,2015-06-15T18:44:08.082Z,"9km W of Entiat, Washington",earthquake,84
2015-06-15T05:42:29.000Z,59.4803,-152.3011,25.8,1.2,ml,456,232,23,0.98,ak,ak11626037,2015-06-15T06:09:51.231Z,"42km SW of Anchor Point, Alaska",earthquake,85
2015-06-15T05:07:59.050Z,36.5514984,-121.1248322,8.95,1.19,md,8,77,0.05686,0.02,nc,nc72466381,2015-06-15T05:09:32.900Z,"22km NE of Soledad, California",earthquake,86
2015-06-15T05:01:16.500Z,-31.9661,-68.3219,104.36,4.5,mb,443,66,0.52,1.26,us,us20002pvp,2015-06-15T13:03:44.187Z,"33km S of Nueve de Julio, Argentina",earthquake,87
2015-06-15T04:58:16.934Z,37.2797,-116.0344,0,0.08,ml,14,270.48,0.094,0.1169,nn,nn00498647,2015-06-15T07:31:20.071Z,"76km ENE of Beatty, Nevada",earthquake,88
2015-06-15T04:35:48.450Z,33.2686667,-116.772,12.568,0.63,ml,24,82,0.03443,0.16,ci,ci37400312,2015-06-15T13:52:22.018Z,"3km NNW of Lake Henshaw, California",earthquake,89
2015-06-15T04:31:03.590Z,33.3578333,-116.6015,24.196,1.19,ml,19,66,0.1373,0.3,ci,ci37400304,2015-06-15T04:35:14.642Z,"9km NNE of Warner Springs, California",earthquake,90
2015-06-15T04:27:46.520Z,36.0195007,-120.5843353,3.78,1.35,md,19,115,0.03998,0.04,nc,nc72466366,2015-06-15T04:29:22.660Z,"24km WSW of Coalinga, California",earthquake,91
2015-06-15T04:16:58.000Z,64.4872,-147.2749,10.9,0.8,ml,23,11,345,0.15,ak,ak11626028,2015-06-15T04:41:07.193Z,"18km WSW of Salcha, Alaska",earthquake,92
2015-06-15T04:13:08.940Z,53.8488,-164.0361,37.8,3.6,mb,,195,1.064,1.47,us,us20002pvd,2015-06-15T12:15:38.740Z,"118km ESE of Akutan, Alaska",earthquake,93
2015-06-15T04:11:36.000Z,53.2448,-167.151,70.3,1.6,ml,23,23,42,0.15,ak,ak11626023,2015-06-15T05:09:40.570Z,"80km SSW of Unalaska, Alaska",earthquake,94
2015-06-15T04:08:32.740Z,38.8199997,-122.7624969,3.15,0.56,md,6,119,0.01195,0.02,nc,nc72466361,2015-06-15T04:10:07.510Z,"3km W of Cobb, California",earthquake,95
2015-06-15T04:06:03.000Z,62.1477,-151.1581,77.6,1.4,ml,2,34,23,0.29,ak,ak11626022,2015-06-15T04:24:49.375Z,"57km WSW of Talkeetna, Alaska",earthquake,96
2015-06-15T03:55:56.000Z,57.28,-151.008,17.2,3.3,ml,234,233,23,1.09,ak,ak11626008,2015-06-15T11:58:34.473Z,"101km ESE of Kodiak, Alaska",earthquake,97
2015-06-15T03:40:15.000Z,60.8122,-140.3772,0.1,2,ml,56,32,12,0.67,ak,ak11626005,2015-06-15T11:42:44.160Z,"140km NE of Cape Yakataga, Alaska",earthquake,98
2015-06-15T03:37:57.850Z,41.8527,-119.6826,6.166,0.03,ml,5,223.56,0.133,0.142,nn,nn00498654,2015-06-15T08:09:52.494Z,"66km SE of Lakeview, Oregon",earthquake,99
2015-06-15T03:30:57.080Z,19.2528324,-155.477005,42.94,2.24,md,49,70,0.02123,0.22,hv,hv60960381,2015-06-15T03:34:02.530Z,"5km N of Pahala, Hawaii",earthquake,100
2015-06-15T03:24:50.000Z,62.6755,-149.3691,55.5,1.5,ml,55,23,2343,0.77,ak,ak11626000,2015-06-15T03:50:46.790Z,"54km NE of Talkeetna, Alaska",earthquake,101
2015-06-15T03:12:33.422Z,36.4089,-115.3009,7.788,0.74,ml,11,223.06,0.151,0.0849,nn,nn00498646,2015-06-15T16:37:22.029Z,"28km NW of North Las Vegas, Nevada",earthquake,102
2015-06-15T02:49:43.670Z,33.3381667,-116.2433333,11.038,0.91,ml,32,53,0.1454,0.22,ci,ci37400288,2015-06-15T13:53:56.140Z,"15km NE of Borrego Springs, California",earthquake,103
2015-06-15T02:15:00.410Z,33.5338333,-116.7265,3.971,0.42,ml,15,129,0.03275,0.08,ci,ci37400264,2015-06-15T13:52:41.719Z,"5km WSW of Anza, California",earthquake,104
2015-06-15T02:13:52.000Z,61.5459,-150.0027,35.1,1.4,ml,54,23,44,0.6,ak,ak11625996,2015-06-15T02:34:08.960Z,"3km NW of Big Lake, Alaska",earthquake,105
2015-06-15T02:12:11.000Z,61.3802,-140.4143,0.1,1.3,ml,44,55,13,0.42,ak,ak11625994,2015-06-15T02:34:08.168Z,"171km WNW of Haines Junction, Canada",earthquake,106
2015-06-15T02:00:01.050Z,33.1065,-116.3921667,0.011,0.46,ml,2,155,0.1626,0.34,ci,ci37400256,2015-06-15T02:04:20.618Z,"17km S of Borrego Springs, California",earthquake,107
2015-06-15T01:48:18.452Z,41.8916,-119.6476,7.4538,1.05,ml,5,217.73,0.126,0.0588,nn,nn00498653,2015-06-15T08:06:36.252Z,"66km ESE of Lakeview, Oregon",earthquake,108
2015-06-15T01:46:11.000Z,63.5784,-147.6701,0.8,2.3,ml,34,53,23,0.82,ak,ak11625988,2015-06-15T02:19:11.107Z,"67km ENE of Cantwell, Alaska",earthquake,109
2015-06-15T01:43:35.650Z,19.2985001,-155.3841705,4.85,1.82,md,21,96,0.03474,0.15,hv,hv60960356,2015-06-15T01:46:33.740Z,"14km NE of Pahala, Hawaii",earthquake,110
2015-06-15T01:30:01.410Z,33.6003333,-116.8155,9.34,0.07,ml,18,135,0.04003,0.13,ci,ci37400240,2015-06-15T19:38:55.552Z,"14km WNW of Anza, California",earthquake,111
2015-06-15T01:28:26.840Z,38.8301659,-122.7811661,2.02,0.56,md,11,56,0.008795,0.02,nc,nc72466336,2015-06-15T01:30:02.280Z,"5km W of Cobb, California",earthquake,112
2015-06-15T01:27:38.837Z,40.0549,-120.0912,8.8222,0.91,ml,8,189.03,0.163,0.1278,nn,nn00498645,2015-06-15T07:18:38.011Z,"42km NNW of Cold Springs, Nevada",earthquake,113
2015-06-15T01:27:38.520Z,38.8320007,-122.783165,2.11,0.56,md,11,70,0.008508,0.02,nc,nc72466331,2015-06-15T01:29:12.320Z,"5km WNW of Cobb, California",earthquake,114
2015-06-15T01:17:44.000Z,61.3893,-140.2857,0,2,ml,23,34,54,0.66,ak,ak11625984,2015-06-15T01:47:55.074Z,"165km WNW of Haines Junction, Canada",earthquake,115
2015-06-15T01:05:28.340Z,33.909,-116.8948333,14.362,0.84,ml,22,67,0.07237,0.26,ci,ci37400224,2015-06-15T01:21:52.170Z,"2km SW of Banning, California",earthquake,116
2015-06-15T00:54:26.000Z,64.4344,-147.3105,2.6,0.5,ml,23,23,43,0.1,ak,ak11625982,2015-06-15T01:18:16.990Z,"22km WSW of Salcha, Alaska",earthquake,117
2015-06-15T00:49:21.000Z,61.4116,-140.2316,0.2,2.2,ml,23,45,23,0.73,ak,ak11625977,2015-06-15T01:04:09.792Z,"164km WNW of Haines Junction, Canada",earthquake,118
2015-06-15T00:44:50.000Z,62.4873,-149.986,0,1.8,ml,23,53,23,0.87,ak,ak11625974,2015-06-15T01:04:11.139Z,"19km NNE of Talkeetna, Alaska",earthquake,119
2015-06-15T00:36:29.592Z,37.3471,-117.1284,13.5796,0.05,ml,9,223.3,0.375,0.1354,nn,nn00498700,2015-06-15T19:18:37.992Z,"41km SSE of Goldfield, Nevada",earthquake,120
2015-06-15T00:35:13.000Z,63.2326,-151.2188,5.1,1.2,ml,25,23,43,0.26,ak,ak11625971,2015-06-15T01:04:10.586Z,"115km W of Cantwell, Alaska",earthquake,121
2015-06-15T00:31:10.220Z,2.519,124.0717,336.34,4.7,mb,45,61,3.573,0.83,us,us20002ptz,2015-06-15T08:33:44.352Z,"142km NW of Manado, Indonesia",earthquake,122
2015-06-15T00:17:04.380Z,38.8431664,-122.8243332,2.52,0.51,md,11,62,0.009837,0.02,nc,nc72466296,2015-06-15T00:18:41.750Z,"9km WNW of Cobb, California",earthquake,123
2015-06-15T00:11:37.480Z,38.821167,-122.8193359,2.91,0.56,md,7,137,0.007569,0.01,nc,nc72466291,2015-06-15T00:13:11.700Z,"7km NW of The Geysers, California",earthquake,124
2015-06-15T00:03:19.000Z,61.3863,-140.2871,0,1.8,ml,53,23,32,0.71,ak,ak11625968,2015-06-15T00:17:47.437Z,"165km WNW of Haines Junction, Canada",earthquake,125
2015-06-14T23:56:48.000Z,64.3974,-149.6968,9.6,0.7,ml,55,23,43,0.66,ak,ak11625964,2015-06-15T00:17:46.628Z,"34km SW of North Nenana, Alaska",earthquake,126
2015-06-14T23:51:14.530Z,35.1561,69.9996,124.72,4.1,mb,23,114,0.997,0.93,us,us20002ptg,2015-06-15T07:53:51.078Z,"46km NE of Tagab, Afghanistan",earthquake,127
2015-06-14T23:35:51.360Z,35.0441667,-117.6668333,-0.001,1.84,ml,21,59,0.1954,0.11,ci,ci37400184,2015-06-14T23:44:58.265Z,"5km NNW of Boron, California",quarry blast,128
2015-06-14T23:10:11.000Z,58.8841,-147.953,35,1.8,ml,45,67,34,0.54,ak,ak11625962,2015-06-14T23:28:05.183Z,"111km WSW of Middleton Island, Alaska",earthquake,129
2015-06-14T23:06:46.000Z,62.1748,-145.4977,28.8,0.9,ml,23,43,23,0.43,ak,ak11625961,2015-06-14T23:28:04.331Z,"7km NNE of Glennallen, Alaska",earthquake,130
2015-06-14T23:00:42.000Z,64.9798,-147.3227,0.1,1.4,ml,,54,24,0.29,ak,ak11625959,2015-06-14T23:13:11.779Z,"22km NNE of Badger, Alaska",earthquake,131
2015-06-14T22:54:16.000Z,63.4348,-150.8262,2.2,1.2,ml,25,43,24,0.58,ak,ak11625957,2015-06-14T23:13:13.165Z,"93km W of Cantwell, Alaska",earthquake,132
2015-06-14T22:50:53.310Z,33.3796667,-116.3933333,11.798,0.91,ml,21,71,0.1435,0.14,ci,ci37400176,2015-06-15T13:53:14.847Z,"14km N of Borrego Springs, California",earthquake,133
2015-06-14T22:48:08.000Z,63.5183,-148.2342,27.3,0.7,ml,34,53,23,23,ak,ak11625954,2015-06-14T23:13:12.568Z,"38km ENE of Cantwell, Alaska",earthquake,134
2015-06-14T22:34:13.232Z,37.2896,-114.5887,9.0839,2.12,ml,6,105.59,0.386,0.0991,nn,nn00498632,2015-06-14T23:01:27.247Z,"36km S of Caliente, Nevada",earthquake,135
2015-06-14T22:33:25.550Z,19.295166,-155.3858337,3.8,1.84,md,20,96,0.03803,0.16,hv,hv60960296,2015-06-14T22:37:34.730Z,"14km NE of Pahala, Hawaii",earthquake,136
2015-06-14T22:27:46.980Z,36.1511667,-118.0515,6.417,1,ml,4,188,0.2118,0.02,ci,ci37400168,2015-06-14T22:36:25.488Z,"15km NW of Coso Junction, California",earthquake,137
2015-06-14T22:27:26.000Z,65.0065,-150.2941,9.5,2.2,ml,35,346,45,0.88,ak,ak11625890,2015-06-14T22:41:52.264Z,"16km E of Manley Hot Springs, Alaska",earthquake,138
